province,year,month,form,count,capital_subscribed
Lleida,2011,3,SL,80,2348884
"Rioja, La",2011,3,SL,28,282893
Lugo,2011,3,SL,41,1414158
Madrid,2011,3,SL,2043,59990169
Málaga,2011,3,SL,480,8622433
Murcia,2011,3,SL,314,6280626
Navarra,2011,3,SL,91,1011034
Ourense,2011,3,SL,44,564117
Asturias,2011,3,SL,145,1738148
Palencia,2011,3,SL,17,593775
"Palmas, Las",2011,3,SL,157,1879910
Pontevedra,2011,3,SL,168,39484108
Salamanca,2011,3,SL,40,411260
Santa Cruz de Tenerife,2011,3,SL,171,3313824
Cantabria,2011,3,SL,79,2316976
Segovia,2011,3,SL,24,408477
Sevilla,2011,3,SL,415,12195604
Soria,2011,3,SL,9,187316
Tarragona,2011,3,SL,140,4350818
Teruel,2011,3,SL,9,73300
Toledo,2011,3,SL,119,1882321
València / Valencia,2011,3,SL,465,8053534
Valladolid,2011,3,SL,86,2443596
Bizkaia,2011,3,SL,213,5264058
Zamora,2011,3,SL,23,396755
Zaragoza,2011,3,SL,157,6213042
Ceuta,2011,3,SL,8,41030
Melilla,2011,3,SL,6,18612
Araba / Álava,2011,3,Otras,2,100000
Albacete,2011,3,Otras,0,0
Alacant / Alicante,2011,3,Otras,1,3012
Almería,2011,3,Otras,1,3100
Ávila,2011,3,Otras,1,100000
Badajoz,2011,3,Otras,0,0
Illes Balears,2011,3,Otras,2,6100
Barcelona,2011,3,Otras,7,6100
Burgos,2011,3,Otras,0,0
Cáceres,2011,3,Otras,0,0
Cádiz,2011,3,Otras,0,0
Castelló / Castellón,2011,3,Otras,2,9030
Ciudad Real,2011,3,Otras,0,0
Córdoba,2011,3,Otras,1,3500
"Coruña, A",2011,3,Otras,7,3100
Cuenca,2011,3,Otras,0,0
Girona,2011,3,Otras,0,0
Granada,2011,3,Otras,0,0
Guadalajara,2011,3,Otras,0,0
Gipuzkoa,2011,3,Otras,0,0
Huelva,2011,3,Otras,2,6112
Huesca,2011,3,Otras,0,0
Jaén,2011,3,Otras,0,0
León,2011,3,Otras,0,0
Lleida,2011,3,Otras,0,0
"Rioja, La",2011,3,Otras,1,40000
Lugo,2011,3,Otras,0,0
Madrid,2011,3,Otras,10,22406
Málaga,2011,3,Otras,2,1020
Murcia,2011,3,Otras,0,0
Navarra,2011,3,Otras,0,0
Ourense,2011,3,Otras,0,0
Asturias,2011,3,Otras,2,4010
Palencia,2011,3,Otras,0,0
"Palmas, Las",2011,3,Otras,1,500
Pontevedra,2011,3,Otras,0,0
Salamanca,2011,3,Otras,2,143188
Santa Cruz de Tenerife,2011,3,Otras,3,603709
Cantabria,2011,3,Otras,1,3000
Segovia,2011,3,Otras,0,0
Sevilla,2011,3,Otras,2,13200
Soria,2011,3,Otras,0,0
Tarragona,2011,3,Otras,2,3000
Teruel,2011,3,Otras,0,0
Toledo,2011,3,Otras,0,0
València / Valencia,2011,3,Otras,3,7010
Valladolid,2011,3,Otras,0,0
Bizkaia,2011,3,Otras,0,0
Zamora,2011,3,Otras,0,0
Zaragoza,2011,3,Otras,2,1000
Ceuta,2011,3,Otras,0,0
Melilla,2011,3,Otras,0,0
Araba / Álava,2011,4,SA,1,66000
Albacete,2011,4,SA,0,0
Alacant / Alicante,2011,4,SA,2,120000
Almería,2011,4,SA,0,0
Ávila,2011,4,SA,0,0
Badajoz,2011,4,SA,0,0
Illes Balears,2011,4,SA,0,0
Barcelona,2011,4,SA,6,480000
Burgos,2011,4,SA,1,150000
Cáceres,2011,4,SA,0,0
Cádiz,2011,4,SA,0,0
Castelló / Castellón,2011,4,SA,0,0
Ciudad Real,2011,4,SA,0,0
Córdoba,2011,4,SA,0,0
"Coruña, A",2011,4,SA,3,180000
Cuenca,2011,4,SA,0,0
Girona,2011,4,SA,0,0
Granada,2011,4,SA,1,60000
Guadalajara,2011,4,SA,0,0
Gipuzkoa,2011,4,SA,0,0
Huelva,2011,4,SA,1,60000
Huesca,2011,4,SA,0,0
Jaén,2011,4,SA,1,150000
León,2011,4,SA,0,0
Lleida,2011,4,SA,0,0
"Rioja, La",2011,4,SA,0,0
Lugo,2011,4,SA,1,60000
Madrid,2011,4,SA,18,5264102
Málaga,2011,4,SA,0,0
Murcia,2011,4,SA,0,0
Navarra,2011,4,SA,1,300000
Ourense,2011,4,SA,1,500000
Asturias,2011,4,SA,1,60000
Palencia,2011,4,SA,0,0
"Palmas, Las",2011,4,SA,0,0
Pontevedra,2011,4,SA,3,870200
Salamanca,2011,4,SA,0,0
Santa Cruz de Tenerife,2011,4,SA,3,498401
Cantabria,2011,4,SA,1,60000
Segovia,2011,4,SA,0,0
Sevilla,2011,4,SA,0,0
Soria,2011,4,SA,0,0
Tarragona,2011,4,SA,0,0
Teruel,2011,4,SA,0,0
Toledo,2011,4,SA,0,0
València / Valencia,2011,4,SA,0,0
Valladolid,2011,4,SA,0,0
Bizkaia,2011,4,SA,0,0
Zamora,2011,4,SA,0,0
Zaragoza,2011,4,SA,2,33350000
Ceuta,2011,4,SA,0,0
Melilla,2011,4,SA,0,0
Araba / Álava,2011,4,SL,34,7296442
Albacete,2011,4,SL,53,2286028
Alacant / Alicante,2011,4,SL,300,10817388
Almería,2011,4,SL,111,5200969
Ávila,2011,4,SL,21,166972
Badajoz,2011,4,SL,60,1439467
Illes Balears,2011,4,SL,209,1605283
Barcelona,2011,4,SL,1076,17798090
Burgos,2011,4,SL,40,307370
Cáceres,2011,4,SL,31,38335573
Cádiz,2011,4,SL,135,1151110
Castelló / Castellón,2011,4,SL,85,3372168
Ciudad Real,2011,4,SL,68,2657069
Córdoba,2011,4,SL,78,3391706
"Coruña, A",2011,4,SL,146,1852160
Cuenca,2011,4,SL,30,584810
Girona,2011,4,SL,109,831334
Granada,2011,4,SL,124,1946243
Guadalajara,2011,4,SL,24,239862
Gipuzkoa,2011,4,SL,85,3968744
Huelva,2011,4,SL,57,9497437
Huesca,2011,4,SL,34,896242
Jaén,2011,4,SL,57,1663832
León,2011,4,SL,40,257252
Lleida,2011,4,SL,59,1805748
"Rioja, La",2011,4,SL,32,1744542
Lugo,2011,4,SL,36,349213
