province,year,month,form,count
Almería,2011,5,Otras,1
Ávila,2011,5,Otras,0
Badajoz,2011,5,Otras,0
Illes Balears,2011,5,Otras,0
Barcelona,2011,5,Otras,8
Burgos,2011,5,Otras,0
Cáceres,2011,5,Otras,0
Cádiz,2011,5,Otras,0
Castelló / Castellón,2011,5,Otras,0
Ciudad Real,2011,5,Otras,0
Córdoba,2011,5,Otras,0
"Coruña, A",2011,5,Otras,0
Cuenca,2011,5,Otras,0
Girona,2011,5,Otras,0
Granada,2011,5,Otras,0
Guadalajara,2011,5,Otras,0
Gipuzkoa,2011,5,Otras,0
Huelva,2011,5,Otras,2
Huesca,2011,5,Otras,0
Jaén,2011,5,Otras,0
León,2011,5,Otras,0
Lleida,2011,5,Otras,0
"Rioja, La",2011,5,Otras,0
Lugo,2011,5,Otras,0
Madrid,2011,5,Otras,8
Málaga,2011,5,Otras,1
Murcia,2011,5,Otras,1
Navarra,2011,5,Otras,0
Ourense,2011,5,Otras,0
Asturias,2011,5,Otras,1
Palencia,2011,5,Otras,0
"Palmas, Las",2011,5,Otras,0
Pontevedra,2011,5,Otras,0
Salamanca,2011,5,Otras,0
Santa Cruz de Tenerife,2011,5,Otras,0
Cantabria,2011,5,Otras,0
Segovia,2011,5,Otras,0
Sevilla,2011,5,Otras,2
Soria,2011,5,Otras,0
Tarragona,2011,5,Otras,0
Teruel,2011,5,Otras,0
Toledo,2011,5,Otras,1
València / Valencia,2011,5,Otras,1
Valladolid,2011,5,Otras,1
Bizkaia,2011,5,Otras,0
Zamora,2011,5,Otras,0
Zaragoza,2011,5,Otras,0
Ceuta,2011,5,Otras,0
Melilla,2011,5,Otras,0
Araba / Álava,2011,6,SA,0
Albacete,2011,6,SA,0
Alacant / Alicante,2011,6,SA,3
Almería,2011,6,SA,0
Ávila,2011,6,SA,0
Badajoz,2011,6,SA,0
Illes Balears,2011,6,SA,1
Barcelona,2011,6,SA,25
Burgos,2011,6,SA,0
Cáceres,2011,6,SA,0
Cádiz,2011,6,SA,0
Castelló / Castellón,2011,6,SA,0
Ciudad Real,2011,6,SA,1
Córdoba,2011,6,SA,1
"Coruña, A",2011,6,SA,2
Cuenca,2011,6,SA,0
Girona,2011,6,SA,0
Granada,2011,6,SA,0
Guadalajara,2011,6,SA,0
Gipuzkoa,2011,6,SA,3
Huelva,2011,6,SA,0
Huesca,2011,6,SA,0
Jaén,2011,6,SA,0
León,2011,6,SA,0
Lleida,2011,6,SA,0
"Rioja, La",2011,6,SA,1
Lugo,2011,6,SA,1
Madrid,2011,6,SA,31
Málaga,2011,6,SA,3
Murcia,2011,6,SA,1
Navarra,2011,6,SA,2
Ourense,2011,6,SA,0
Asturias,2011,6,SA,1
Palencia,2011,6,SA,1
"Palmas, Las",2011,6,SA,1
Pontevedra,2011,6,SA,3
Salamanca,2011,6,SA,0
Santa Cruz de Tenerife,2011,6,SA,2
Cantabria,2011,6,SA,2
Segovia,2011,6,SA,1
Sevilla,2011,6,SA,6
Soria,2011,6,SA,0
Tarragona,2011,6,SA,2
Teruel,2011,6,SA,0
Toledo,2011,6,SA,3
València / Valencia,2011,6,SA,6
Valladolid,2011,6,SA,2
Bizkaia,2011,6,SA,3
Zamora,2011,6,SA,0
Zaragoza,2011,6,SA,3
Ceuta,2011,6,SA,0
Melilla,2011,6,SA,0
Araba / Álava,2011,6,SL,7
Albacete,2011,6,SL,9
Alacant / Alicante,2011,6,SL,44
Almería,2011,6,SL,11
Ávila,2011,6,SL,2
Badajoz,2011,6,SL,12
Illes Balears,2011,6,SL,53
Barcelona,2011,6,SL,212
Burgos,2011,6,SL,3
Cáceres,2011,6,SL,5
Cádiz,2011,6,SL,13
Castelló / Castellón,2011,6,SL,11
Ciudad Real,2011,6,SL,10
Córdoba,2011,6,SL,22
"Coruña, A",2011,6,SL,24
Cuenca,2011,6,SL,3
Girona,2011,6,SL,26
Granada,2011,6,SL,12
Guadalajara,2011,6,SL,0
